,company_logo,company_name,job_title,level,location,salary_max,salary_min,tags
293,https://img.blognone.com/jobs/prod/56x56/logo/box24-company-limited.jpg,"Box24 Co., Ltd.",Full-stack Developer,"Middle-Level, Full time", - พญาไท กรุงเทพมหานคร,35000,30000,
294,https://img.blognone.com/jobs/prod/56x56/logo/box24-company-limited.jpg,"Box24 Co., Ltd.",Frontend Developer,"Middle-Level, Full time", - พญาไท กรุงเทพมหานคร,30000,20000,"#bootstrap,#flexbox,#fronend,#git,#javascript"
295,https://img.blognone.com/jobs/prod/56x56/logo/box24-company-limited.jpg,"Box24 Co., Ltd.",C Developer,"Middle-Level, Full time", - พญาไท กรุงเทพมหานคร,40000,30000,"#c,#hardware-controller,#linux"
296,https://img.blognone.com/jobs/prod/56x56/logo/creditok.jpg,Credit OK,PHP Laravel Developer,"Middle-Level, Full time", - จตุจักร กรุงเทพมหานคร,40000,30000,"#laravel,#linux,#php,#self-awareness,#vuejs"
297,https://img.blognone.com/jobs/prod/56x56/logo/creditok.jpg,Credit OK,Senior Credit Risk Analyst,"Senior-Level, Full time", - จตุจักร กรุงเทพมหานคร,120000,80000,"#python,#r,#sas,#spss,#sql"
298,https://img.blognone.com/jobs/prod/56x56/logo/brid-systems-co-ltd.jpg,"BRID Systems Co., Ltd.",Java Programmer(Senior Level),"Senior-Level, Full time", - พญาไท กรุงเทพมหานคร,1000,1000,"#developer,#intellij,#java,#postgresql,#programmer"
299,https://img.blognone.com/jobs/prod/56x56/logo/brid-systems-co-ltd.jpg,"BRID Systems Co., Ltd.",Java Programmer(Entry Level),"Middle-Level, Full time", - พญาไท กรุงเทพมหานคร,1000,1000,"#developer,#intellij,#java,#postgresql,#programmer"
300,https://img.blognone.com/jobs/prod/56x56/logo/brid-systems-co-ltd.jpg,"BRID Systems Co., Ltd.",Java Programmer(Middle Level),"Entry-Level, Full time", - พญาไท กรุงเทพมหานคร,1000,1000,"#developer,#intellij,#java,#postgresql,#programmer"
301,https://img.blognone.com/jobs/prod/56x56/logo/prism-solutions-co-ltd_acwocRY.jpg,"Gofive Co., Ltd.",Product Specialist (สาขาพระราม4),"Entry-Level, Full time", - คลองเตย กรุงเทพมหานคร,60000,35000,
302,https://img.blognone.com/jobs/prod/56x56/logo/prism-solutions-co-ltd_acwocRY.jpg,"Gofive Co., Ltd.",iOS Developer (สาขาสมุทรสาคร),"Entry-Level, Full time", - เมืองสมุทรสาคร สมุทรสาคร,40000,25000,"#java,#kotlin,#objective-c,#php,#swift"
