,company_logo,company_name,job_title,level,location,salary_max,salary_min,tags
212,https://img.blognone.com/jobs/prod/56x56/logo/nrinthr-khuuaiphrin.jpg,Dot Matter,Front-end Developer,"Entry-Level, Full time", - ปทุมวัน กรุงเทพมหานคร,25000,20000,
213,https://img.blognone.com/jobs/prod/56x56/logo/bkksoftware.jpg,BKKSOFTWARE,Software Developer,"Middle-Level, Full time", - ลาดพร้าว กรุงเทพมหานคร,100000,30000,"#javascript,#jquery,#laravel,#php"
214,/static/media/placeHolder.c40238b9.svg,"GMO-Z.Com Cryptonomics (Thailand) Co.,Ltd.",Software Developer,"Entry-Level, Full time", - ดินแดง กรุงเทพมหานคร,70000,30000,
215,https://img.blognone.com/jobs/prod/56x56/logo/nunnaphat-ramlee.jpg,Nunnaphat Ramlee,"Web Base Application Developer (ASP.NET,#C)","Middle-Level, Full time", - บางนา กรุงเทพมหานคร,40000,20000,
216,https://img.blognone.com/jobs/prod/56x56/logo/king-power-international-group.jpg,KING POWER INTERNATIONAL GROUP,Software Tester,"Middle-Level, Full time", - พญาไท กรุงเทพมหานคร,45000,35000,"#automatedtest,#selenium,#test-case,#tester,#testing"
217,https://img.blognone.com/jobs/prod/56x56/logo/king-power-international-group.jpg,KING POWER INTERNATIONAL GROUP,SAP ABAP Developer,"Middle-Level, Full time", - พญาไท กรุงเทพมหานคร,55000,45000,"#abap,#developer,#programmer,#sap"
218,https://img.blognone.com/jobs/prod/56x56/logo/king-power-international-group.jpg,KING POWER INTERNATIONAL GROUP,Data Analyst (Python),"Middle-Level, Full time", - พญาไท กรุงเทพมหานคร,65000,55000,"#analytic,#data-science,#python"
219,https://img.blognone.com/jobs/prod/56x56/logo/mekha-co-ltd.jpg,"MeKha CO., LTD",Full Stack Developer,"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,50000,30000,"#bootstrap,#nodejs,#php,#react-native,#symfony"
220,https://img.blognone.com/jobs/prod/56x56/logo/t-d-software-co-ltd.jpg,"T.D. Software Co., Ltd.",Business Analyst / System Analyst,"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,65000,50000,
221,https://img.blognone.com/jobs/prod/56x56/logo/t-d-software-co-ltd.jpg,"T.D. Software Co., Ltd.",Test Analyst / Software Tester,"Middle-Level, Contract", - บางรัก กรุงเทพมหานคร,55000,35000,
222,https://img.blognone.com/jobs/prod/56x56/logo/t-d-software-co-ltd.jpg,"T.D. Software Co., Ltd.","Programmer (RPG/400, .NET, Java, Fullstack)","Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,60000,40000,
223,https://img.blognone.com/jobs/prod/56x56/logo/laconic-technology-company-limited.jpg,Laconic Technology Company Limited,Implement and Programmer ERP System,"Entry-Level, Full time", -  กรุงเทพมหานคร,20000,17000,
224,https://img.blognone.com/jobs/prod/56x56/logo/bualuang-securities-co-ltd.jpg,"Bualuang Securities Co., Ltd",Web Developer,"Middle-Level, Full time", - บางรัก กรุงเทพมหานคร,60000,20000,
225,https://img.blognone.com/jobs/prod/56x56/logo/bualuang-securities-co-ltd.jpg,"Bualuang Securities Co., Ltd",Java Developer [URGENTLY REQUIRED !!!],"Senior-Level, Full time", - บางรัก กรุงเทพมหานคร,60000,20000,
226,https://img.blognone.com/jobs/prod/56x56/logo/chawit-hinngurn.jpg,"Livingsoft Co., Ltd.",Full Stack Engineer,"Entry-Level, Full time", - ราชเทวี กรุงเทพมหานคร,35000,18000,"#html,#javascript,#nodejs,#php,#wordpress"
227,https://img.blognone.com/jobs/prod/56x56/logo/aisoft-co-ltd.jpg,"AISOFT CO.,LTD.",Android Developer 2 ตำแหน่ง,"Entry-Level, Full time", - สาทร กรุงเทพมหานคร,50000,25000,
228,https://img.blognone.com/jobs/prod/56x56/logo/aisoft-co-ltd.jpg,"AISOFT CO.,LTD.",บัญชี 1 ตำแหน่ง,"Entry-Level, Full time", -  กรุงเทพมหานคร,30000,20000,
229,https://img.blognone.com/jobs/prod/56x56/logo/aisoft-co-ltd.jpg,"AISOFT CO.,LTD.",.NET Developer 1 ตำแหน่ง URGENT สุดๆ,"Middle-Level, Full time", -  กรุงเทพมหานคร,50000,25000,
230,https://img.blognone.com/jobs/prod/56x56/logo/hg-robotics-co-ltd,"HG Robotics Co.,Ltd",Software Test Automation Engineer(Junior-Mid),"Entry-Level, Full time", - ปทุมวัน กรุงเทพมหานคร,50000,25000,"#automatedtest,#test-case,#test-plan,#testscript,#unittest"
231,https://img.blognone.com/jobs/prod/56x56/logo/hg-robotics-co-ltd,"HG Robotics Co.,Ltd",Software Engineer (Junior),"Entry-Level, Full time", - ปทุมวัน กรุงเทพมหานคร,45000,25000,"#html5,#javascript,#mongodb,#mysql,#nodejs"
